,xpos,ypos,J,Ks,J-Ks,Per (days),A (mag),prob,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,Selected_Z,alpha
0,623.502,566.5,23.950000000000003,22.75,1.2000000000000028,138,0.684,72.43,-0.5720399999999994,0.26789215756605744,11.668359999999996,465972192100.7586,7.098360000002089,12541803.72707355,0.001,1.3
1,482.027,808.044,24.3,22.66,1.6400000000000006,120,0.644,76.81,-0.5263199999999997,0.2976322585760839,11.526879999999997,336418600637.3938,6.956880000038349,9054823.723838974,0.001,1.3
2,709.054,98.738,23.970000000000002,22.64,1.3300000000000018,83,1.133,57.51,-0.5161599999999997,0.30467723104349326,11.495439999999999,312924812009.4148,6.925440000071584,8422480.226744557,0.001,1.3
3,695.119,51.824,24.14,22.44,1.6999999999999993,71,1.197,47.61,-0.41456000000000026,0.3849816238275194,11.18104,151719009939.65866,6.611040023579258,4083570.1784095345,0.001,1.3
4,389.254,296.955,24.240000000000002,22.43,1.8100000000000023,268,1.41,28.92,-0.4094799999999994,0.3895112449463549,11.165319999999996,146325494342.95767,6.595320030847621,3938401.887000667,0.001,1.3
5,751.847,22.71,23.970000000000002,22.41,1.5600000000000023,114,0.806,67.75,-0.39931999999999945,0.3987309982403076,11.133879999999998,136106855336.47978,6.563880052478102,3663363.824575454,0.001,1.3
6,28.685,532.373,23.700000000000003,22.38,1.3200000000000038,136,0.612,76.69,-0.3840799999999991,0.41297142283586397,11.086719999999996,122101219069.07504,6.516720114695344,3286397.675186907,0.001,1.3
7,858.503,549.942,23.03,22.37,0.6600000000000001,86,1.02,61.68,-0.379,0.41783036664662176,11.070999999999998,117760597352.08018,6.50100014824629,3169568.544974572,0.001,1.3
8,455.378,425.579,23.650000000000002,22.33,1.3200000000000038,236,0.871,49.46,-0.3586799999999988,0.4378446021566493,11.008119999999995,101887287414.25719,6.438120405489924,2742334.361979803,0.001,1.3
9,567.725,655.871,23.630000000000003,22.3,1.3300000000000018,85,0.85,69.95,-0.34343999999999975,0.4534819442973393,10.960959999999998,91402905240.6431,6.390960844371431,2460145.7894542506,0.001,1.3
10,521.932,816.652,23.78,22.19,1.5899999999999999,105,0.695,75.84,-0.28756000000000004,0.5157509065291088,10.788039999999999,61381853733.79048,6.218050644917884,1652154.4517198398,0.001,2.3
11,394.372,341.06,23.3,22.15,1.1500000000000021,84,0.54,81.75,-0.2672399999999988,0.5404555736183582,10.725159999999995,53108006532.06886,6.155185182331929,1429503.3660630977,0.001,2.3
12,513.17,810.87,23.37,21.95,1.4200000000000017,207,0.746,61.38,-0.16563999999999934,0.6829045400787669,10.410759999999996,25748978226.347843,5.841910064971462,694880.4047305539,0.001,2.3
13,572.458,659.62,23.580000000000002,21.94,1.6400000000000006,70,0.948,64.12,-0.16056000000000026,0.6909394659958393,10.395039999999998,24833618208.390244,5.826403044450767,670506.5804692075,0.001,2.3
14,845.449,630.594,23.35,21.94,1.4100000000000001,225,0.803,55.63,-0.16056000000000026,0.6909394659958393,10.395039999999998,24833618208.390244,5.826403044450767,670506.5804692075,0.001,2.3
15,899.173,0.91,23.540000000000003,21.91,1.6300000000000026,149,0.257,53.1,-0.14531999999999945,0.715615930602381,10.347879999999996,22278194949.43341,5.7801219165422095,602728.7622819255,0.001,2.3
16,388.986,69.78,23.110000000000003,21.86,1.2500000000000036,85,0.453,79.11,-0.11991999999999914,0.7587173230533502,10.269279999999997,18590026120.8668,5.704215034408066,506075.17552240356,0.001,2.3
